UF;Cidade;vendas;produtos;itens;venda_total;ticket_medio;mes;cancelada;periodo
MG;Piedade de Caratinga;4;55;127;1039,82;259,96;202212;FALSO;2022-12-01 00:00:00
MG;SÃO JOÃO DO JACUTINGA;6;254;419;2713,44;452,24;202212;FALSO;2022-12-01 00:00:00
MG;SANTO ANTÔNIO DO MANHUAÇU;61;978;3587;20272,45;332,34;202212;FALSO;2022-12-01 00:00:00
MG;Penha do Capim;47;1373;5673;42413,32;902,41;202212;FALSO;2022-12-01 00:00:00
MG;Santa Bárbara do Leste;18;333;899;4603,26;255,74;202212;FALSO;2022-12-01 00:00:00
MG;Santa Rita de Minas;4;72;176;1143,58;285,9;202212;FALSO;2022-12-01 00:00:00
MG;Manhuaçu;3;61;136;832,85;277,62;202212;FALSO;2022-12-01 00:00:00
MG;Martins Soares;2;95;198;1031,24;515,62;202212;FALSO;2022-12-01 00:00:00
MG;Manhumirim;1;25;40;266,1;266,1;202212;FALSO;2022-12-01 00:00:00
MG;Ubaporanga;1;28;49;441,91;441,91;202212;FALSO;2022-12-01 00:00:00
MG;Inhapim;1;11;18;125,43;125,43;202212;FALSO;2022-12-01 00:00:00
MG;Ipanema;1654;35124;68152;442239,9;267,38;202301;FALSO;2023-01-01 00:00:00
MG;Pocrane;188;4376;13209;74713,6;397,41;202301;FALSO;2023-01-01 00:00:00
MG;Taparuba;106;2874;6116;41924,01;395,51;202301;FALSO;2023-01-01 00:00:00
MG;Conceição de Ipanema;105;3241;6912;47431,61;451,73;202301;FALSO;2023-01-01 00:00:00
MG;Santana do Manhuaçu;141;3999;8524;54281;384,97;202301;FALSO;2023-01-01 00:00:00
MG;Simonésia;321;9485;19443;116714,83;363,6;202301;FALSO;2023-01-01 00:00:00
MG;Manhuaçu;199;4792;13038;80077,18;402,4;202301;FALSO;2023-01-01 00:00:00
MG;São José do Mantimento;69;2126;5125;35212,96;510,33;202301;FALSO;2023-01-01 00:00:00
MG;Reduto;10;212;904;3582,81;358,28;202301;FALSO;2023-01-01 00:00:00
MG;Aimorés;224;5941;14000;86558,71;386,42;202301;FALSO;2023-01-01 00:00:00
MG;Expedicionário Alício;88;2402;6802;46258,77;525,67;202301;FALSO;2023-01-01 00:00:00
MG;Conceição do Capim;46;1194;2666;19132,49;415,92;202301;FALSO;2023-01-01 00:00:00
MG;Resplendor;238;5002;12415;76544,34;321,61;202301;FALSO;2023-01-01 00:00:00
MG;Itueta;92;2671;5566;38491,23;418,38;202301;FALSO;2023-01-01 00:00:00
MG;Quatituba;66;1468;4049;23128,46;350,43;202301;FALSO;2023-01-01 00:00:00
ES;Baixo Guandu;163;3161;7773;49732,36;305,11;202301;FALSO;2023-01-01 00:00:00
MG;Caratinga;10;303;699;3454,25;345,43;202301;FALSO;2023-01-01 00:00:00
MG;Piedade de Caratinga;4;79;226;1001,1;250,28;202301;FALSO;2023-01-01 00:00:00
MG;SÃO JOÃO DO JACUTINGA;6;152;263;1846,96;307,83;202301;FALSO;2023-01-01 00:00:00
MG;SANTO ANTÔNIO DO MANHUAÇU;59;1252;3664;21111,76;357,83;202301;FALSO;2023-01-01 00:00:00
MG;Penha do Capim;37;960;5048;30409,5;821,88;202301;FALSO;2023-01-01 00:00:00
